,User,Join Date
0,kirby,
0,MikeDG,2017-02-21
0,Ara,2010-12-04
0,jim,2011-08-19
0,Robbie%2520(ASR),
0,ozzman,2010-01-13
0,Fortunato,2013-04-13
0,DANIEL,2008-08-03
0,Gregorio%2520[juve],
0,Kevin,2011-08-22
0,Gregorio,2014-01-31
0,Julian,
0,Hana,2009-04-01
0,tacobellmanager,
0,A.A.S.,
0,JinLA,
0,Hamit,
0,theo,2011-10-23
0,salvatore,2012-04-01
0,SGM,2010-06-03
0,Ozz,2010-01-14
0,RomaShield27,
0,Bonnie,2009-07-23
0,Colin,2008-02-12
0,munichsoul,
0,Bruno,2014-06-13
0,shehan,
0,JUNGAR,
0,tom,2011-09-04
0,kat,2011-09-18
0,BigDawg%25204%2520Milan,
0,ebe,2011-12-03
0,Naser,
0,Juventina,
0,juventus2008,
0,Milanista,2012-07-25
0,Juventino,2010-08-20
0,tito,2011-10-11
0,Anthony%2520Palermo,
0,Alberto,2008-07-30
0,JUVENTUS$FOREVER,
0,Angharad,
0,Forza%2520Juve,
0,old%2520apple,
0,Giro,
0,calcio-calcio,
0,KJ,2011-09-22
0,Il%2520Divin%2520Codino,
0,Rob,2008-05-31
0,Edgar,2008-10-24
0,Arsen,
0,Samuel%2520(A.C.M),
0,Nazmy,
0,Fatlum,
0,Rafo,
0,Goose,2008-02-12
0,Juventuz,2016-08-04
0,italy_win_euro,
0,k13,2012-02-03
0,ordeal_rules,
0,Samuel,2011-08-28
0,michele,2011-09-27
0,RyanJ,2010-07-03
0,RomaChris%2520needs%2520to%2520gr,
0,francois,2008-05-15
0,Ian%2520Rose,2010-08-05
0,Bashar%2520Beiruti,
0,tifoso,2012-09-23
0,Sushan[ACM],
0,MAD,2008-06-08
0,calisi,
0,Corbin,2008-06-24
0,Nedved's%2520Hair,
0,Vidal%2520Sassoon,
0,Nick,2008-02-12
0,Join%2520soccerfanbase.c,
0,giuseppe,2011-10-02
0,sushan[ACM],
0,ursus%2520arctos,
0,Karpacz%2520TanieNoclegi,
0,Bang,2011-03-11
0,georgeak,
0,Jean-Michel,
0,toto,2011-09-18
0,Neo,2008-04-23
0,kari,2009-03-04
0,Grappiolo,
0,Italian,2010-01-07
0,goose,2008-02-12
0,mike%2520de%2520robbio,
0,Ush,
0,JC,2011-08-29
0,Nicole%2520Roubalová,
0,PoketKings,
0,Giampiero,
0,Antonio,2011-09-24
0,Sean%2520(JUVE),
0,pat,2011-09-22
0,John,2008-03-30
0,Ben,2008-10-26
0,Juve%2520Bob,
0,niki,2009-10-08
0,sez,
0,sean,2008-05-06
0,Enrico,
0,Perry%2520Groves,
0,Marco%2520Pantanella,
0,JuventusDOC,
0,Samson,2008-04-06
0,As,
0,Thiago,2008-04-27
0,CMP%2520(ASR),
0,Gago,
0,enzo%2520scia,
0,Jim,2011-08-19
0,Colombina,
0,Nnahoj,
0,Nina,
0,rasko,
0,k,
0,kamal,2012-01-03
0,Moka,
0,Al,2011-08-29
0,Ricardo,2008-08-14
0,Boricua,2008-03-29
0,Hawk,2014-08-30
0,gaston,2008-10-24
0,surendra,
0,Kyle,2011-08-23
0,Pablo,2008-09-29
0,Dennis%2520Robert,
0,JP,2008-02-12
0,Oliviero,2012-03-07
0,asem,2012-03-20
0,Romanista,2012-02-28
0,rick,2008-05-04
0,vin,
0,Matt,2011-08-17
0,jasperaldo%2520(The%2520Bapti,
0,enrico,
0,Stasio,
0,Pasquale,2014-11-27
0,Jeremy,2008-04-17
0,Vinny,2011-09-10
0,jed,2008-11-10
0,Caroe,
0,Mostafa,
0,Paolo,2008-07-17
0,-nickt.-,
0,lorenzo,2014-06-17
0,matthew,2008-02-12
0,guly,2011-07-27
0,bekhele,2014-09-04
0,Vincenzo,2011-06-15
0,Giuseppe,2011-10-02
0,Rinaldo,2012-03-03
0,Del%2520Piero_JR,
0,yousef,2012-06-11
0,Jerry,2008-06-26
0,Your%2520Lord%2520and%2520Master,
0,moka%2520(ACM),
0,Alvo,2016-04-05
0,Avia%2520(ACM),
0,yasin,2011-02-03
0,zen,2011-09-02
0,alessandro%2520d'agostino,
0,avia,2012-03-23
0,Fadayn,2012-03-04
0,HBW,2010-07-04
0,anthony,2008-12-11
0,Tom,2011-09-04
0,maresca,
0,j,
0,Juventus%2520Shirts,
0,Rami%2520Taibah,
0,ben,2008-10-26
0,Jay,2008-02-12
0,Joe%2520C,2012-01-25
0,ana,2011-08-31
0,David,2014-06-04
0,matthewpyke@gmail.com,
0,justin,2010-03-27
0,sorry%2520guys.%2520i'll%2520post,
0,Laura,2008-03-15
0,mimo,
0,SERIE%2520A%2520FANTASY,
0,Chris,2012-01-17
0,Vincent,2008-04-16
0,MoMONEY,2009-04-13
0,Elio,2013-10-15
0,James,2011-08-20
0,Muhammad,2011-06-22
0,salah%2520awwad,
0,kashif,2009-11-17
0,Dumitru,2012-05-11
0,alex,2009-06-15
0,Sexy%2520Mexy,
0,s,
0,Asaf,2010-02-17
0,Alex,2009-06-15
0,oossSS,
0,UL,2009-04-21
0,CUCS,2018-05-20
0,Joseph%2520C,2010-02-10
0,Adnan,2010-04-25
0,ravi,2009-04-05
0,asem%2520ICS%2520(ICS%2520is%2520not,
0,adam%2520d,2008-12-18
0,Ravi,2009-04-05
0,Bobo,2011-10-20
0,gianfranco,2011-08-30
0,Alfredo,2008-06-13
0,Joseph,2011-08-19
0,Simon,2011-09-16
0,juve,2010-02-09
0,Mostafa%2520EGY,
0,yuo,
0,Atlético%2520Al,
0,Adam%2520Bader%2520of%2520Realmad,
0,bruno%2520s,
0,Neil,2008-03-26
0,Tommy%2520Wong,
0,alessio%25202,
0,Dav,
0,Pauly%2520WalNuts%2520(ASR)%2520(,
0,CMP%2520(ASR)%2520(Denmark),
0,J,
0,Gaston,2008-10-24
0,A.%2520Tarantino,
0,Fozz,2008-12-11
0,Mikhail,2011-12-19
0,Dago,2014-09-28
0,Weston,2009-02-08
0,Football%2520Shirts,
0,Kurdt,2012-02-19
0,ZZZ,
0,Andres,2008-11-12
0,tony,2008-02-14
0,gregor,2011-09-23
0,Armando,
0,Traian,
0,Javier,2008-06-10
0,mickey,2011-09-26
0,Kasia,2010-07-14
0,Ranjeet,2012-10-04
0,Justin,2010-03-27
0,Mat,
0,S+ef@n,
0,Stefano,2011-02-05
0,A,
0,Jock%2520Stein,
0,Milos,
0,Jad,2008-08-22
0,Vialli,2013-03-21
0,cathal,2011-11-21
0,marto_juve,
0,Talal,2010-04-02
0,Michaelo,2011-12-09
0,del%2520mansour,
0,lindaa,
0,Hussein,
0,Adam%2520Digby,
0,kike78,
0,ASEM,2012-03-20
0,jasperaldo%2520(ASR%2520from%2520,
0,lamagica%2520is%2520the%2520hallu,
0,Relegate%2520Roma,
0,Carliona%2520(Carly)%2520Troc,
0,Hala,
0,cha,2010-02-28
0,Lev%2520Lucien,
0,Ro,2008-07-29
0,Christoph,2008-03-27
0,Minh%2520Nguyuen%2520Duc,
0,fetyani,
0,James%2520Davies,
0,Nicoli,
0,gio,2009-09-16
0,BigDawg4Milan,2014-06-16
0,mohd,
0,zolathehammer,
0,Someone%2520who%2520wont%2520vis,
0,del-mansour,
0,michael,2011-08-25
0,ooBia,
0,sam,2008-05-17
0,Sambit%2520Mishra,
0,juve%2520delpiro,
0,British,2010-10-12
0,thien%2520an,
0,Mad...you're%2520MAD,
0,sofia%2520dreams%2520of%2520amaur,
0,maria,2011-11-02
0,buffoniloveyoubut....,
0,adissjuve,
0,Brian,2008-02-12
0,hant00,2011-08-20
0,aldo,2008-04-14
0,someone,
0,someone%2520else,
0,Eriam,
0,roma123,
0,karl,2011-08-26
0,al,2011-08-29
0,sissoko%2520man%2520love,
0,Anon,2011-09-14
0,Jack,2008-02-12
0,Faisal,
0,Nino,2014-11-23
0,avia(ACM),
0,"al,",
0,Huntelaar,
0,juvefan,2011-07-30
0,Bosco,
0,jimmy,2012-07-12
0,henrik,2008-12-25
0,SCUDETTO-IS-OVER-WAKE,
0,Interista,2012-09-28
0,HolyMann,
0,Jar-Jar%2520Bling,
0,Ozzy,
0,DanS,2008-04-18
0,Mo,2008-03-22
0,arthurfonzarelli,
0,Steve,2008-03-14
0,antonia,2015-04-18
0,Sam%2520Dj,
0,wtf%2520Iaquinta,
0,p13ro,
0,chell,2013-05-02
0,Soccer%2520Jersey,2012-06-18
0,urim,
0,World%2520Soccer%2520Rankings,
0,Geoff,2011-09-30
0,Sky,
0,khaniv13,2012-03-08
0,tanisha,2014-09-14
0,ozshimy,
0,sergio,
0,juventina,
0,incredible%2520cock,
0,Pauly%2520WaLNuts%2520(AS%2520Rom,
0,mac,2011-08-26
0,juventini,
0,Atido,
0,San,2008-07-16
0,benji,
0,Drabik,
0,Pete,2008-08-18
0,i%2520just%2520want%2520to%2520beat%2520,
0,intercheats,
0,Nicoli%2520(ASR),
0,cris,
0,Juventini4lyfe,
0,Smirnoff%2520triple%2520disti,
0,Amir,2008-10-25
0,serious%2520things,
0,cap123,
0,Michele,2011-09-27
0,Gigi,2011-08-19
0,Peter%2520Stamelman,
0,alez,
0,tHOMAS,2011-09-10
0,Arto,2012-06-05
0,hike,
0,Franco,2009-03-05
0,Jorid,
0,zakira,
0,Ev,2009-06-11
0,Kabir,
0,dave,2011-05-10
0,internisti,
0,georges,2010-04-15
0,joseph,2011-08-19
0,Sneakers%2520O'Toole,2016-06-03
0,lev%2520lucien,
0,Trond,
0,Apuzzo,
0,jasperaldo%2520(ASR),
0,NZ,2009-02-16
0,swankyfrankie,2012-04-21
0,Prade's%2520Son,
0,anna16,
0,mok,2011-10-05
0,Brian%2520(not%2520the%2520Inter%2520,
0,Caesar,2009-04-11
0,lol,2011-10-05
0,Gandi,
0,rahadi,
0,andi,2012-02-29
0,Didi,2010-04-08
0,kataloni,
0,marcos,
0,ARSENAL4LIFE,2013-07-07
0,Ryan,2008-02-13
0,scouse%2520scum,
0,Ale,2008-05-15
0,somebody,2011-09-10
0,Aldo%2520Cascio,
0,zoot,2009-09-12
0,Jacob,2008-02-12
0,FF,
0,Calisi,
0,arto,2012-06-05
0,Favero,
0,MB,2008-04-15
0,Juules,
0,Sergio,
0,martin,
0,joe,2014-06-06
0,Gordon,
0,Sammini,
0,Marco%2520D.,
0,steven.,
0,Serg,2009-09-24
0,immaro,
0,idze,
0,El%2520Rey,2010-06-11
0,larry,2008-02-12
0,Aquismaia,
0,Jem,2011-09-16
0,Sean,2008-05-06
0,Neutro,2012-08-10
0,Marcus,2011-08-27
0,george,
0,giampiero,
0,Harry,2014-06-28
0,Comrade,2011-04-15
0,skyder,2012-08-02
0,Andy,2011-09-08
0,temo,2010-05-06
0,diodati,
0,Evan,2008-03-14
0,garry,2009-09-19
0,mickey%2520corsano,
0,Chelsea,2011-09-17
0,luca,2011-12-24
0,Gil,2015-05-03
0,trond,
0,Pian,
0,andrew,2008-02-12
0,PaNoMOR,
0,Abdullah,2009-01-25
0,guy_fox,
0,DonMichele,
0,Jose,2011-08-23
0,Wanda%2520Touchim,
0,Nicolo,2019-04-06
0,Del%2520Piero%252010,2015-06-02
0,TeamGREASE,
0,o_man,
0,angel88,
0,arbri,
0,Azzem,
0,dan,2008-03-15
0,ðáíáéãéáëåéïò,
0,Thomas,2011-09-10
0,Jordi,
0,dhamar,
0,alex%2520w,2010-05-14
0,del_piero,
0,armando%2520bedaj,
0,discharge,2012-03-05
0,JuveFan,2011-07-30
0,Juve%2520Cuccio,
0,Dango,2013-07-21
0,riski,
0,dewa%2520rhadea,
0,younis,
0,Carlo,2008-04-16
0,The%2520Amiral,
0,Stahn,2013-11-18
0,Gooner,2008-07-29
0,Ivan%2520K,
0,Lord%2520Denny,
0,Christopher,2014-07-06
0,Egidio,
0,onmysite.ro,
0,learn%2520more,
0,DJP,2008-05-26
0,lteo,
0,Juve%2520Shirts,
0,Hamad,
0,zaki,2008-04-14
0,Ivo,2009-09-04
0,juvenite,2013-12-22
0,Apaz,
0,Alejandro,
0,Aldo,2008-04-14
0,Tony,2008-02-14
0,eklavya,
0,Dan,2008-03-15
0,Vince,2011-09-12
0,Utku,
0,Juventini,
0,Danni,
0,jor-el,2008-06-24
0,Anton,2010-04-28
0,Caterina,
0,barca,2010-02-01
0,neoexodus,
0,Mouini,
0,movinheadz,
0,mohammed%2520allah,
0,football%2520adviser,
0,Football%2520Betting,
0,Brad,2014-07-25
0,Adamo,2010-02-28
0,Bullshit,
0,Vinod,2011-05-27
0,mauro,2011-11-21
0,Dewa%2520Juve,
0,georg,2009-07-26
0,Vercingetorix,2008-12-04
0,Riccardo,2009-12-14
0,moshe%2520from%2520israel,
0,kqql,
0,michelangelo,2009-09-28
0,ScudettoStarved,
0,Romanisti,2011-12-25
0,Juventus%2520shirts,
0,dasmotto,
0,ned%2520lowe,
0,IvanK,
0,Johnny,2014-06-04
0,fital,2012-03-14
0,Robbie(ASR),
0,anna%2520rosi,
0,Aquismaia%2520(going%2520for%2520,
0,Yusuf%2520(ASR),
0,Eros%2520Miranda,
0,Daddio,2011-09-02
0,Derek,2011-09-11
0,Trackbackspeed,
0,Fjd,2008-09-04
0,Jennifer,2008-02-12
0,yoni,2010-09-14
0,Easy,2008-03-15
0,leon,2008-04-22
0,Darjan,2015-01-28
0,Mitar,
0,Jovan,2016-01-14
0,tim,2008-03-28
0,canna,2009-12-16
0,Cannavaro,
0,Michelangelo,2009-09-28
0,Boki,2010-07-06
0,Eros,2010-10-21
0,Robee,2012-03-04
0,Maresca,
0,lilrashio,
0,Luka,2009-03-26
0,babat,
0,...,2008-03-31
0,Liam,2008-03-15
0,Miso,2013-12-14
0,ARGO,2012-04-14
0,Vaha,
0,Op,2012-03-14
0,cayenned,
0,Glen%2520M.,
0,zagelbagel,
0,dom,2011-09-14
0,jem,2011-09-16
0,Jnice,
0,ilir%2520salihu,
0,Vidyuth%2520Srinivasan,
0,jots,2011-04-14
0,oobia,
0,Pepe,
0,Adi,2009-07-01
0,papai,2012-06-30
0,Junaid,
0,The%2520Troll,2011-08-21
0,Holymann,
0,dillon,2009-03-25
0,Juulesy,2012-03-07
0,Patrik,
0,Tim,2008-03-28
0,Socratinho,
0,kabir,
0,gigo,2015-04-11
0,fjd,2008-09-04
0,Kelly,2008-02-12
0,Uday,2011-02-12
0,Erinti,
0,Svergentina,
0,Aush,
0,seria,
0,Joop,2010-02-08
0,Lonely%2520Amauri,
0,GMaster7,2017-04-03
0,francesco,
0,diego1torontojuve,
0,Papai,2012-06-30
0,Roberto,2008-03-26
0,john%2520page,
0,Sambit,
0,Poulsen,
0,shingai,
0,tyo,2013-05-07
0,KrissKrash,
0,seijism,
0,pristine,
0,MJ,2008-07-30
0,For%2520Real,2012-09-28
0,Inter%2520Forever,
0,donkey,
0,Mickey%2520Mouse,2009-08-01
0,marky,
0,alvaro,
0,Alvaro,
0,brento,2011-08-11
0,Gigo,2015-04-11
0,OhYes,2013-05-29
0,Zizou,2011-04-23
0,Juliane%2520Asbell,
0,brice,
0,asr,2009-11-29
0,Sandro,2012-06-22
0,kurdt,2012-02-19
0,orDian,
0,Dom,2011-09-14
0,adam2,2010-08-24
0,ShellyGirl88,
0,yaniv,2010-07-06
0,gaetano,2015-09-15
0,hurrikaane,
0,SEIJISM,
0,shakermaker,2012-04-03
0,lee,2014-06-11
0,do%2520you%2520agree,
0,gAETANO,2015-09-15
0,mobb^x3,
0,Amen,
0,josh,2008-10-25
0,Tomas,2011-08-24
0,johonna,2011-08-27
0,Brett,2012-04-08
0,Cezar,
0,Mike%2520R,2012-02-13
0,italia2006,
0,Vince%2520Cullotta,
0,nick,2008-02-12
0,behnam,
0,benjamin,2011-08-23
0,Pino,2009-02-23
0,1987,2012-10-21
0,PAT,2011-09-22
0,BBM,2010-09-23
0,Ralph,
0,Gaetano,2015-09-15
0,Jea,2012-12-31
0,ivo,2009-09-04
0,colaking,
0,Godson%2520Hernandez,
0,Art,
0,Drew,
0,Juve,2010-02-09
0,sammy,2008-03-26
0,Marco%2520D,
0,Sylvester,2009-03-01
0,Inter%2520Inter,
0,squeeze,2008-04-28
0,rhaaj,
0,God%2520Damn,
0,87,2012-07-25
0,Juventus%25201987,
0,mufid,2012-03-14
0,Squeeze,2008-04-28
0,Francesco%2520(Gialloross,
0,Sissoko%2520Man%2520Love,
0,Goran,2008-10-29
0,Secco,
0,SLOVENIAAAAAAAAAAAAAA,
0,ARSENE%2520WENGER,2013-08-23
0,SIR%2520ALEX,2010-12-16
0,6unn3ers,
0,Firezen,
0,Edwin,2009-07-09
0,Juventis%2520Shirts,
0,matty%2520t,2009-04-12
0,Zsedo,
0,Bassam,2017-03-03
0,ndcolin,
0,Mrs.%2520Shankly,
0,Tomek,2012-06-12
0,CeCe,2010-02-02
0,Cece,2010-02-02
0,Gro,2009-09-22
0,Jean,2014-09-11
0,dagoes,
0,TB.,
0,Georg,2009-07-26
0,a|,
0,Bari%2520Mike,
0,Alto',
0,Sergio%2520aka%2520Romafan,
0,Maroussia,2010-01-11
0,anony,
0,Juergen,2013-03-15
0,jiji_pl,2012-03-03
0,Mab,2011-08-25
0,Edward,2011-09-18
0,ED,
0,Ranjeet(Forza%2520Milan),
0,Bento,
0,Alastair,2009-12-27
0,Garth%2520Probasco,
0,weston,2009-02-08
0,gela%2520uomo,
0,K,
0,Miss%2520R,
0,SUPER_MARIO_BALOTELLI,
0,Alto,2010-01-29
0,Muhventino,
0,Yan,2009-12-17
0,LJ22,
0,ADP,2011-05-26
0,Amrush,2010-11-02
0,ruvio,
0,gaetanor,
0,Lippee-ki-yay,
0,BigBeff,2013-01-26
0,Rahul,
0,kadainja,
0,ked,2010-08-22
0,h,
0,Wilton%2520Kromka,
0,Juve4Life,2012-04-10
0,thebballkid,2011-08-20
0,fsun,2012-03-03
0,grandeMou,
0,Ramzi,
0,thebballkid%2520(Ivo),
0,P4blo,
0,Boo,2011-08-22
0,john,2008-03-30
0,Zafar,2012-08-08
0,victor,2011-09-14
0,mohab,2012-12-20
0,Richie%2520Aprile,
0,xczcxczczxczxcx,
0,Greyskull,
0,Jayjay,2008-09-08
0,P4BLO,
0,henrylow,
0,ridwanzero,
0,kiramatali%2520shah,
0,evision,
0,sunrisedatacare,
0,Jalen,2012-09-30
0,slakas,2012-05-11
0,bob,2008-02-24
0,jackson,2011-08-26
0,jon,2008-10-26
0,Forza%2520Roma,
0,Phil,2011-09-19
0,biscione,2015-05-12
0,Seif,2011-12-27
0,Raj,2009-01-09
0,MJ%2520(NO%2520TOTTI%2520NO%2520PART,
0,leandro,2010-10-16
0,Juve%25201987,
0,Bari%2520mike,
0,Tottigol,2015-10-09
0,andre,2011-09-04
0,vlad,2008-03-26
0,Sandro%2520V,
0,Nikko,2008-10-21
0,Moggers,
0,greg,2008-04-18
0,MJ%2520(%2520Roma%2520Fan),
0,Dani,2009-12-17
0,Don%2520Michele,
0,ferara,
0,aquila%2520a%2520due%2520teste,
0,matteo,2008-06-18
0,Anfield%2520Tour,
0,Sebastien,2011-03-16
0,drew,
0,D'Agher,
0,Jameski,
0,alan,2011-09-02
0,Neo77,
0,Kyle%2520(asr),
0,RizzoSports,
0,davidbaer,
0,Dattebayo,
0,Pete%2520Tenny,
0,moe%2520samy,
0,Random%2520Juve%2520Fan,
0,Mass,2012-01-30
0,Alec,2008-03-17
0,ForzaRoma2001,2012-03-22
0,Armoracia(ASR),
0,NETTII,
0,kistajk,2012-03-04
0,Andrea,2011-09-19
0,Dmod,2012-10-28
0,Jacob%2520(FORZA%2520ROMA),
0,Rhaaj,
0,Jacob%2520(Forza%2520Roma),
0,Gabriel,2011-10-12
0,Muh29,
0,Rick,2008-05-04
0,Beppe,
0,Oliviero%2520B.,
0,Marco%2520Stucazzo,
0,kiramatalishah,
0,charlesbrooks,
0,gflyer,
0,coetsee,
0,watch%2520football%2520highli,
0,premiership%2520highligh,
0,do%2520penis%2520pills%2520work,
0,paolo,2008-07-17
0,irreducibile,
0,Jacob%2520(ROMA%2520FAN),
0,Titti,
0,georghe,
0,say123,
0,MJ%2520Grazie%2520Roma,
0,Marcone,2012-07-23
0,Danielle%2520Bovain,
0,Sam.,
0,bulle,2012-06-30
0,Tim%2520C.,2008-12-23
0,Paul,2011-08-19
0,Ching,2008-12-11
0,SUPER%2520GIORGIO,
0,Malih,2012-03-31
0,Mario,2008-09-05
0,james,2011-08-20
0,AJ,2014-08-04
0,Matteo%2520(sorry),
0,Maio,2017-05-04
0,Matteo,2008-06-18
0,Howard%2520Nichell,
0,Pedro,2011-10-12
0,Cristiano,2014-05-07
0,Aod,
0,sqjpzk,
0,Bentolino,
0,Juventusforever,
0,Blanda,2011-08-20
0,dweb,2011-08-20
0,Befe,
0,gigi,2011-08-19
0,I%2520am%2520not%2520here%2520to%2520tro,
0,pbs%2520kids%2520games,
0,BostonBobo,
0,Agostino,2013-12-30
0,Eugenio%2520Ferrari,
0,BffonisInjured,
0,Tom%2520Armstrong,
0,michele-dellacroce,
0,Dreams,2012-02-04
0,La%2520Juve,
0,frank,2011-09-26
0,Conspiracy%2520Theorist,2015-02-20
0,Brente,2009-07-25
0,CR9,2014-04-21
0,@ptrzanoto,
0,Grande%2520Juventus,
0,Grande%2520Juve,
0,Ruby25ld,
0,jimmy%2520page,
0,@%2520I%2520am%2520not%2520here%2520to%2520tr,
0,elmi,2012-07-05
0,amaurifan,
0,HashTheDon,
0,yahya,2011-05-04
0,shah,
0,jkib,
0,jack,2008-02-12
0,FUCK%2520RUBENTUS,
0,Mark,2011-08-17
0,Juve%2520Fan,
0,Juventus%2520Fan,
0,nico,2008-02-12
0,caco,2013-12-30
0,Vittoria,
0,Il%2520giallorosso,
0,Niket,2012-12-09
0,Facts%2520>%2520Intellectual%2520,
0,Nik,
0,Kris,2011-09-03
0,Frank,2011-09-26
0,Juventus,2012-03-06
0,hunter_of_souls,
0,Franco%2520Setti,
0,Serritella,
0,michele-dellacroce(AS,
0,M,
0,rossonero,2014-12-31
0,Grande%2520Juve%25201897,
0,dk,2008-05-30
0,Juve%25201897,
0,disillusioned%2520interis,
0,il%2520gufo,
0,vinnie,2009-01-03
0,moookieblaylock,
0,lalapolala,2015-07-22
0,here%2520we%2520go%2520again...,
0,Read%2520More...Write%2520Le,
0,doug,2008-02-12
0,LJ,2011-09-24
0,M29,
0,joe%2520strummer,2013-08-02
0,Veltins,
0,George,
0,Mohammed,
0,EG,2008-04-23
0,italian%2520stallion,2009-10-27
0,Hanni,2008-10-02
0,Italian%2520stallion,2009-10-27
0,Juvetino4Life,
0,Italian%2520Stallion,2009-10-27
0,kriz,2009-12-23
0,Fiat,
0,TagliaventoBestREf,
0,Traditional%2520Chinese%2520H,
0,joel,2011-08-26
0,Sebastian-Lorento,
0,M%2520C,2010-09-23
0,ishaq96,
0,sebastian-lorento,
0,intercheat,
0,oliviero,2012-03-07
0,edgar,2008-10-24
0,Jae,2008-03-16
0,tress,2009-05-25
0,Grande%2520Juventus%25201897,
0,Sms,2008-08-02
0,Leo,2011-08-20
0,The%2520Old%2520Lady,2012-03-25
0,ciro,2010-04-26
0,Domenico,
0,Tej,2012-04-26
0,Darren,
