Comment Title,Comment Body,Poster,Date,Time,Recs
,"Actually, I seriously hope we are ready to compete next year. I tend to be optimistic but here are some reasons why we may prove competitive:
1. Next year’s competition will be very competitive. We will all start from zero. Bad news for Inter.
2. We are likely to bring Genoa and Napoli along with us!
3. We made Euro 42 million from players’ sales last year.
4. We have over Euro 70 million allocated for next year.
Now, I realize we lost serious revenues through our demotion but am sure a good chunk of money will be allocated to bringing good players on board.
Now, WHY ON EARTH WOULD WE NOT BRING BACK MARESCA! WE STILL OWN HIM.
Also, I pray that Palladino, Marcisio and Paro will stay with us. If anything, we should not sell them. Loan would do.",rossi82 ,"May 14, 2007 ", 11:15 AM,
,"well I’m with you on the Anelka thing no don’t want him anywhere near Juve. but hmmm Guily is a good one if it’s true. been watching him this season at Barca and he does do an impressive job but he’s mainly been coming in as a sub. Silva I like but I have adopted the wait and see mantra because Juve has been connected to almost everyone under the sun so far and this summer should prove to be an interesting one for Juve.
and why is it that all other teams get sleek mobile phone carriers and what not and we get tractors and farm equipment LOL (guess money is money) not complaining just wondering out loud.",Jina ,"May 8, 2007 ", 1:52 PM,
,"oh great, we’re turning into Inter. No Italian players!?",Marcello ,"May 8, 2007 ", 4:48 PM,
,haha i agree marcello! wheres all our italianos???? i really hate what inter does and i complain and complain about it but now my own juve are doing it?!?!?!?!?!?! we need to find us some good ITALIAN players! anyways sorry to be the bearer of bad news but frings as signed a new deal with werder bremen tieing him there until 2011 i think…,Sofia ,"May 9, 2007 ", 2:09 PM,
,"I think if we had Bonera and Barzagli playin in the back, its all over bit the crime.",Marcello ,"May 2, 2007 ", 1:43 PM,
,"i think if we had bonera and barzagli in defence together that would be amazing:) who knows…. i cant believe Chelsea! maybe if Abramovich cared this much about his wife, he wouldn’t be dishing out millions in his current divorce case…maybe he should have payed more attention to her instead of crying over Mutu…",Sofia ,"May 2, 2007 ", 4:02 PM,
,"2-0!!!!! FORZA JUVE!!!!!!! i couldnt watch the game today but im sure it was good! i really hope buffon stays…i mean where is he going to go…milan have dida, inter have cesar….plus he promised all the fans that he would never go to inter anyways…so really theres nowhere else for him to go:)….right?:S
he also said he wouldnt go to chelsea or barca or real so i mean that takes out most of the big european clubs….haha maybe he’ll come save Toronto FC hahaha…actuallty i hope he just satys with juve..
Del Piero didnt start today…anyone know why?",Sofia ,"May 1, 2007 ", 2:42 PM,
,"honestly i would reallly love to see Canna come home, maybe im just saying that because i am a girl and just love to watch him play..but he is a very strong defender and a great leader so i feel that if we had him he could really teach our young stars a thing or two about defence and he is a good person for them to look up too. also i would love to see milito come to juve too…if we could get canna and milito i would have no complaints….howver if princess trezeguet and princess camo dont decide to stop complaining i would take away play time because if you are going to bring the team down because you are only making hmm i dont know a few millon euros a year instead of 7 mln then you shouldnt be playing..im sure ranieri will figure out a fit punishment for our resident royalty.. i would love to see barzagli here too…the defence is what worries me most and i am going to be honest here..giannichedda has never really impressed me much to me all he does is stupid tackles at midfield and that is not something we need.
just my 2 cents….",Sofia ,"Jun 27, 2007 ", 9:55 AM,
,"Giannicheda + Zanetti … OUT, i’ve never really seen what’s so great about them, very ‘average’ players and i’d rather have paro + marchisio as our backups or one of them and Zanetti as average players cannot make up the backbone of a Juventus side. I’d love to see a Milito/Barzagli defense, however unlikely. I think our right back position is slightly weak atm. We’re also linked with Pepe from Porto who has impressed this season. Alternatively we could push Grygera out to the right, with Chiellini in the centre (where he was VERY impressive playing in the U21 championships) with whoever we sign for Centre back, with someone like Nocerino out on the left? just suggestions…. lol",Gianluca Stoppani ,"Jun 27, 2007 ", 1:12 PM,
,"hey juanse! it’s great that you started the juve blog. great writing man, keep it up…good luck with this..see ya",johann ,"Jun 27, 2007 ", 2:33 PM,
,"Why are we getting rid of Paro!!! please someone advise me why!! He is a player who played nearly every match of serie B last season and an important figure in our promotion. He is still young and a quality player to keep, if we have to let him go, let him on loan!",Daniel ,"Jun 28, 2007 ", 2:51 AM,
,They could win they placed the odds at 4/1 on juventus not bad and theres still more signing to do we cannot just rule them out.,Anthony ,"Jun 28, 2007 ", 6:49 AM,
,hey juanse i think you get your wisdom from your brother but its all ok. I think its great you are writing your blog good luck more inter bashing and more ACM compliments. Dont rule out juventus out of the Serie A race. good luck.,Charlie ,"Jun 28, 2007 ", 10:26 PM,
,"Hello!
This is a really great blogg. Now to answer your questions. First of all I would prefer to play a 4-3-1-2 formation to balance out the middfield which in my point of view looks a bit to offensive. Like this:
Buffon
Salihamidzic, Grygera, Pepe, Chiellini
Tiago, Zanetti, Almiron
Nedved
Trezeguet, Del Piero
Miccoli, Blasi and Tacchinardi has been called back. That strengthen the middfield and attack. Or what do you think about:
-Iaquinta
-Del Piero
-Trezeguet
-Miccoli
-Palladino
I’ve heard that Zalayeta wont be a Juventini at the end of the mercato so Im not counting him in.
The defence is not that good really. Im hoping for 2 new great central defenders with Chiellini och Sali on the flanks. Milito-Pepe? Barzagli-Pepe? Barzagli-Milito? Or maybe using the new star Criscito?
Juve got the money its just about getting the players. Kapo has been sold now to Birmingham so him we can forget. Now there’s romours going around about Lampard and Riquelme so we will se how it goes. We must be patient and wait untill the Mercato closes and then we can discuss if Juventus has the squad to take om the scudetto or not. But right now I can say that we at least will finish Top 4.
FORZA JUVENTUS PER SEMPRE, VINCI PER NOI!",SoloJuve ,"Jun 30, 2007 ", 9:52 AM,
,I want to hear your opinion about Olympiako’s Mexican player Nery Castillio.His is the player who scored the first goal against Brasil and I heard a rumor that Juve is going to make a bid for this player.,Nakis ,"Jul 1, 2007 ", 1:55 AM,
,Lampard have refused a new contract offer by chelsea amazing!! Barcelona are apparently out of the race for him it only leaves him with us or unless benitez makes a bid. Damn you benitez!,Anthony ,"Jul 1, 2007 ", 3:52 PM,
,new post????,Sofia ,"Jul 3, 2007 ", 12:35 PM,
,piano piano; don’t get too excited.,Mike ,"Jul 4, 2007 ", 1:21 AM,
,"i think people are a bit unoptimistic of our chances next year.
i think we have an excellent chance of wining seriea.
if not second at worst.",stefano ,"Jul 4, 2007 ", 11:01 AM,
,i agree with stefano:D,Sofia ,"Jul 4, 2007 ", 11:47 AM,
,Does anybody know if or when the new juve jersey is coming out the epl and la liga jerseys are already out.,Anthony ,"Jul 4, 2007 ", 8:12 PM,
,yeah i was wondering that too anthony….i wish they would unveil them already. i hope they are as nice as this years jerseys:D if i find them i will let you know,Sofia ,"Jul 5, 2007 ", 6:42 AM,
,"They’ve had a few ‘examples’ of what the new away shirt is meant to be like, some blue with a couple of horizontal lines, but I’m almost certain that’s a fake.",Gianluca ,"Jul 5, 2007 ", 8:10 AM,
,"Almiron eager to start:
http://www.channel4.com/sport/football_italia/jul6p.html",Mike ,"Jul 6, 2007 ", 1:35 PM,
,"I think Palermo will finish ahead of Juve this year… Amauri, Miccoli, and Cavani are a force up front behind Zaccardo and Barzagli",KJ Ventimiglia ,"Jul 31, 2007 ", 8:13 PM,
,HOORAY to more Inter bashing!!!!,Gianfranco ,"Jun 26, 2007 ", 2:24 PM,
,"Hey man, welcome, look forward to reading more of your blogs.",Daniel ,"Jun 26, 2007 ", 3:44 PM,
,hello welcome good luck with this blog:) there isnt a day that goes by without juve news haha….i too love inter bashing and hope they get relegated for finacial fraud this year does evil laugh i hope nedved and camo stay even though trezzie and camo are both Princesses with a capital P lol but its all good,Sofia ,"Jun 26, 2007 ", 5:23 PM,
,"this is all very good news and it can only get better for us, unless Camo departs.",Marcello ,"Jun 26, 2007 ", 6:04 PM,
,"YES!
MORE INTER BASHING IS SOMETHING MILAN FANS LOVE MORE THAN YOU DO.. SO GO FOR IT :D",ACM ,"Jun 27, 2007 ", 1:14 AM,
,Ciao Juan! Let’s hope we can get Barzagli.,Michael ,"Jun 27, 2007 ", 7:07 AM,
,"hahaha ACM im all for inter bashing so where should we start???
ooh ooh i know one: inter are too cheap to buy their own stadium so they still gotta share with ac milan ahahah stupid inter….",Sofia ,"Jun 27, 2007 ", 7:11 AM,
,Hello! Good Site! Thanks you! gyjlmqblkodj,cmgmflgzcx ,"Jul 3, 2007 ", 7:03 AM,
,Good to hear from you agian.The first step to success a new coach but do you really think Ranieri can bring Lampard and Sissoko to the old lady? And our Milito has failed to impress zaragoza.And what is the news on iaquinta is it confirmed that he has been bought?,Anthony ,"Jun 4, 2007 ", 7:07 PM,
,its great to hear from you again! i think we were all getting slightly anxious ahah! anyways i have no idea if that TFC-JUVE rumour is true and i cant even remember how i found the link but once i did i started posting it everywhere! just to see if anyone had info but it turns out that was also news to them…so i will keep an eye out because if it is true i will be the first person buying tickets ahahah!!!,Sofia ,"Jun 5, 2007 ", 12:06 PM,
,"wow if it is true that juve is going to toronto please post it here, i live just across the lake! (rochester) and would freaking LOVE TO see juve again",Aaron ,"Jun 5, 2007 ", 11:13 PM,
,"If it’s true, I’ll be there too… Even better if super Johnny Rossi is on the team.",Michael ,"Jun 6, 2007 ", 2:52 PM,
,guys you do know that if they come they probably wont bring their best players right….they will probably bring their youngsters which i wont mind but im just saying,Sofia ,"Jun 6, 2007 ", 3:10 PM,
,All those major things have happened and today buffon extends his deal and still no blog… someone should hel/replace you if you have no time.,Juan Sebastian Rohrmann ,"Jun 7, 2007 ", 11:31 AM,
,i love you buffon!!!,Sofia ,"Jun 7, 2007 ", 11:57 AM,
,What is going on with this blog we get postings once a month porca madonna.,Anthony ,"Jun 17, 2007 ", 10:05 PM,
,"c’mon frate, dove sei?",Michael ,"Jun 18, 2007 ", 9:33 AM,
,"It is looking good for juve… Lets say in the best scenario their formation looks like this.
Buffon
Grygera,Milito, Barzagli,CHiellini
Camoranesi/Salihamidzic,Tiago, Almiron, Nedved
Iaquinta/Trezeguet/Del Piero
Bench:
Mirante,
Boumsong,
Zannetti,
Giannicheda
Marchisio
Molinaro,
Zebina,
Palladino
They will atleast qualify for Europe!",Sebastian ,"Jun 21, 2007 ", 11:28 AM,
,"We need more Italians; where’s Quaglia? and I think you forgot Marchionni, no?",Michael ,"Jun 21, 2007 ", 11:37 AM,
,"hey guys i decided that if i wanted to get confirmation of the rumour about the TFC-Juventus game i would have to go straight to the source, Juventus Club DOC Toronto. So I did. I emailed the president(?) of the DOC and asked him straight up if the rumour was true. This is the exact response i recieved:
“Hi Sofia,you are right the rumor was that we were trying to set up a game here in Toronto. We were trying I said but the dates never combined. The rest was only media hipe. Grazie ,for your time and interest ,keep on writing us.
Juventus Club Doc Toronto.”
Hopefully that means that they are still talking with Juve and that it will happen. For those of you that want to contact him his email is:fdiberardino@juventusclubdoctoronto.com",Sofia ,"Jun 22, 2007 ", 7:21 AM,
,its official Almiron and Tiago have signed:),Sofia ,"Jun 22, 2007 ", 7:34 AM,
,"damn it, it would have been nice to visit them in Toronto. Oh well.",Michael ,"Jun 22, 2007 ", 7:52 AM,
,"ummm how about a new blog here mate?? Btw does anyone know whats hapenin with milito and Barzagli. It sounded as if we had Milito in the bag untill the whole real madrid thing came up and Barzagli seems to prefer a move to Fiorentina rather than juve but the links persist. All i know is that we need one or two new defenders, these 2 sound quality!",Daniel ,"Jun 23, 2007 ", 12:20 AM,
,"any chance of another blog!? we haven’t seen anything new in ages, and with iaquinta, Tiago and Almiron all coming in, not to mention with thousands of rumours, it would be nice to hear something…..",Gianluca Stoppani ,"Jun 23, 2007 ", 8:18 AM,
,canna coming home? anyone wanna confirm it?,Sofia ,"Jun 25, 2007 ", 9:11 AM,
,"Rumors abound about Canna taking a pay cut to play for us again… I think we should focus more on Barzagli, and if Fabio wants to come back he’ll come back, regardless of what we say or do.",Michael ,"Jun 25, 2007 ", 10:15 AM,
,"Trezeguet to stay.
::yawn::",Michael ,"Jun 25, 2007 ", 2:25 PM,
,first game is against livorno…lets kick some ass!,sofia ,"Jul 31, 2007 ", 3:43 PM,
,"Il Capitano, our beloved Del Piero is going to become a father! his wife sonia is pregnant and they just announced it! Congrats!",sofia ,"Aug 1, 2007 ", 5:58 AM,
,"Juve can easily place top 7 this year and qualify for european competition. But lets not forget that this is looking to be one of Serie A’s most hotly contested seasons ever with 3 Incredibly strong promoted teams and about 11 teams who could be in the top 5. Inter wont be able to hold up their title. Last year’s scudetto was no contest, but now that Inter have some competition (Juve, a stronger AC Milan) We’ll see alot more competition and probably a different top 3 than the once typical Inter Juve MIlan top 3",Antony ,"Aug 1, 2007 ", 11:49 AM,
,"7th place!!!?? 4th place is the goal, Champions league.. the teams to look out for is: Roma, Lazio, Fiorentina with Palermo and Sampdoria as outsiders. The scudetto hunt is AC Milan and Inter and hopefully Juve :-)",Zuko ,"Aug 8, 2007 ", 5:12 AM,
,AC Milan does not look much stronger from last year by this date!!!,Zuko ,"Aug 8, 2007 ", 5:14 AM,
,Looks like sampdorias offence has now become a threat in the Serie A with Cassano and Montella .. can anyone say “deja vu” (roma),JAmie ,"Aug 13, 2007 ", 3:02 PM,
,"I might be a homer, but I’ll take Amauri, Miccoli, and Cavani over Samp’s revamped attack anyday!!",kevin ,"Aug 20, 2007 ", 11:05 AM,
,"Jamie- Doria’s attack lost a lot with Quagliarella’s departure, but the addition of Cassano is huge if he can finaly realize he needs to change his attitude to succeed. Montella, at this point in his career he is serviceable but not the star he once was, and Caracciolo is a striker who doesnt score, so figure that one out, he needs to get back on track. But Maggio had a break out season, and now you have Zeigler from start to finish so the attack will build up a lot on the wings with those two who I realy like, but Cassano is the key.
Kevin- Palermo can be dangerous with that attacking core, especialy if Cavani gets a chance to play. The problem there is that the midfield is very, very questionable.",gianfranco z ,"Aug 20, 2007 ", 10:56 PM,
,"Palermo’s midfield is in question, but I think will prove many wrong, especially with Jankovic..My doubts for Palermo lie in the goalie position.",kevin ,"Aug 21, 2007 ", 1:24 PM,
,"good to have you back man, just keep the posts regularly coming. I disagree with you on one point though. You say you want to keep chellini but you want to put our other fantasti youngsters in a package for senderos. De Ceglie, Marchisio, Giovinco and Paolucci have shown what fantastic loyal players they are and could continue to be with the right grooming. I really dont think senderos is all hes cracked up to be and getting rid of our youngsters will be a lose lose situation for us. Cummon we dont want another Henry, imagine if one of them turn out to be like a Quagliarella whilst we’re still owning him!!!",daniel ,"Jul 29, 2007 ", 6:05 PM,
,marchionni in forward?,Aaron ,"Jul 29, 2007 ", 6:42 PM,
,"missed ya…welcome back!:D
to your chiellini theory: AMEN! do not seel such a promising player what are they stupid?
too bad about the game…
byebye boumsong…giannichedda..and legrotaglie..please…",sofia ,"Jul 30, 2007 ", 9:57 AM,
,"What is this crap about Chiellini and Blasi to Man City. Blasi i don’t mind too much, but if we let go of Chiellini, despite the recent temper tantrum, i will be furious. He’s one of the best young talents we have, we’d be insane to let him go. It would be an outrage, we want a stronger defense, so why let go of one of our best????",Gianluca ,"Jul 24, 2007 ", 8:03 AM,
,Not to worry they just made a bid for Senderos but chellini will not leave hes not like Deschamps he will keep him in line.,Anthony ,"Jul 24, 2007 ", 10:09 AM,
